"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1690669568522",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","Backspace",,,"1690669634653","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","
","","0","1690669634653","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1690669635086","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Creating file C:\Users\Admin\Desktop\Django tutorial\python_oop\readme.rd",,,"1690669711760","main.py","1.1.5 for 2021-2022 @t1",,"Creating file C:\Users\Admin\Desktop\Django tutorial\python_oop\readme.rd",,,,,
"X-Action","Renaming file readme.rd to readme.md",,,"1690669736178","main.py","1.1.5 for 2021-2022 @t1",,"Renaming file readme.rd to readme.md",,,,,
"X-Action","Renaming file readme.md to README.md",,,"1690669746797","main.py","1.1.5 for 2021-2022 @t1",,"Renaming file readme.md to README.md",,,,,
"File.Edit","#","","0","1690669764427","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","#",,"1","1690669764427","README.md","1.1.5 for 2021-2022 @t1",,"#",,,,,
"File.Edit","r","","1","1690669764959","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"2","1690669764959","README.md","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","e","","2","1690669765160","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"3","1690669765160","README.md","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit","a","","3","1690669765229","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"4","1690669765229","README.md","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","d","","4","1690669765402","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"5","1690669765403","README.md","1.1.5 for 2021-2022 @t1",,"d",,,,,
"File.Edit"," ","","5","1690669765761","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"6","1690669765761","README.md","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","m","","6","1690669766046","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"7","1690669766046","README.md","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit","e","","7","1690669766156","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"8","1690669766157","README.md","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit"," ","","8","1690669766274","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"9","1690669766278","README.md","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1690669766966","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","8","1690669767106","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1690669767138","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","7","1690669767138","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1690669767315","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","m","6","1690669767317","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke","#",,"1","1690669764427","README.md","1.1.5 for 2021-2022 @t1",,"#",,,,,
"X-Keystroke","r",,"2","1690669764959","README.md","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","e",,"3","1690669765160","README.md","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke","a",,"4","1690669765229","README.md","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","d",,"5","1690669765403","README.md","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Keystroke"," ",,"6","1690669765761","README.md","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","m",,"7","1690669766046","README.md","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke","e",,"8","1690669766157","README.md","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke"," ",,"9","1690669766278","README.md","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1690669767491","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","5","1690669767501","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1690669767649","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","d","4","1690669767649","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1690669767812","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","a","3","1690669767813","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1690669767980","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","2","1690669767980","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1690669768143","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","r","1","1690669768144","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","P","","1","1690669768760","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","P",,"2","1690669768760","README.md","1.1.5 for 2021-2022 @t1",,"P",,,,,
"File.Edit","t","","2","1690669769246","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"3","1690669769246","README.md","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","Backspace",,,"1690669769599","README.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","t","2","1690669769599","README.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","y","","2","1690669769947","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","y",,"3","1690669769947","README.md","1.1.5 for 2021-2022 @t1",,"y",,,,,
"File.Edit","t","","3","1690669770150","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"4","1690669770150","README.md","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","h","","4","1690669770301","README.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
